Australian Bureau of Statistics

"2016 Census - Cultural Diversity"
"SSC (UR) by GCCSA (UR)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"
"GCCSA (UR)","Greater Sydney"


"SSC (UR)",
"Bellimbopinni",0,
"Bellingen",0,
"Bellmount Forest",0,
"Belltrees",0,
"Belmont (NSW)",0,
"Belmont North",0,
"Belmont South",0,
"Belmore",12713,
"Belmore River",0,
"Beloka",0,
"Belowra",0,
"Belrose",8775,
"Bemboka",0,
"Ben Bullen",0,
"Ben Lomond (NSW)",0,
"Benandarah",0,
"Bendalong",0,
"Bendemeer",0,
"Bendick Murrell",0,
"Bendolba",0,
"Bendoura",0,
"Benerembah",0,
"Bengalla",0,
"Bennetts Green",0,
"Benolong",0,
"Bensville",2544,
"Bentley (NSW)",0,
"Berala",9050,
"Berambing",104,
"Beresfield",0,
"Bergalia",0,
"Berkeley",0,
"Berkeley Vale",8353,
"Berkshire Park",2138,
"Berlang",0,
"Bermagui",0,
"Berowra",4722,
"Berowra Creek",16,
"Berowra Heights",5262,
"Berowra Waters",120,
"Berrambool",0,
"Berrara",0,
"Berremangra",0,
"Berrico",0,
"Berridale",0,
"Berrigal",0,
"Berrigan",0,
"Berrilee",227,
"Berrima",0,
"Berringer Lake",0,
"Berry",0,
"Berry Jerry",0,
"Berry Mountain",0,
"Berry Park",0,
"Berthong",0,
"Beryl",0,
"Bethungra",0,
"Bevendale",0,
"Beverley Park",2397,
"Beverly Hills",10154,
"Bewong",0,
"Bexhill",0,
"Bexley",19729,
"Bexley North",4093,
"Biala",0,
"Bibbenluke",0,
"Biddon",0,
"Bidgeemia",0,
"Bidwill (NSW)",4280,
"Bielsdown Hills",0,
"Big Hill (NSW)",0,
"Big Jacks Creek",0,
"Big Ridge",0,
"Big Springs",0,
"Bigga",0,
"Bilambil",0,
"Bilambil Heights",0,
"Bilbul",0,
"Bilgola Beach",244,
"Bilgola Plateau",3516,
"Billeroy",0,
"Billilingra",0,
"Billimari",0,
"Billinudgel",0,
"Billys Creek",0,
"Billywillinga",0,
"Bilpin",666,
"Bimberi",0,
"Bimbi",0,
"Bimbimbie",0,
"Binalong",0,
"Binda",0,
"Bindera",0,
"Bingara",0,
"Bingeebeebra Creek",0,
"Bingie",0,
"Bingleburra",0,
"Biniguy",0,
"Binjura",0,
"Binna Burra (NSW)",0,
"Binnaway",0,
"Binya",0,
"Birchgrove",3302,
"Birdwood (NSW)",0,
"Birganbigil",0,
"Birmingham Gardens",0,
"Birriwa",0,
"Birrong",3104,
"Bishops Bridge",0,
"Bithramere",0,
"Black Creek (Port Macquarie-Hastings - NSW)",0,
"Black Creek (Snowy Valleys - NSW)",0,
"Black Head",0,
"Black Hill (NSW)",0,
"Black Hollow",0,
"Black Mountain (NSW)",0,
"Black Range (NSW)",0,
"Black Springs (NSW)",0,
"Blackalls Park",0,
"Blackbutt (NSW)",0,
"Blackett",3446,
"Blackheath",4395,
"Blackmans Flat",0,
"Blackmans Point",0,
"Blacksmiths",0,
"Blacktown",47172,
"Blackville",0,
"Blackwall (NSW)",1892,
"Blair Athol (NSW)",2881,
"Blairmount",421,
"Blakebrook",0,
"Blakehurst",6219,
"Blakney Creek",0,
"Bland",0,
"Blandford",0,
"Blaxland (NSW)",7449,
"Blaxlands Creek",0,
"Blaxlands Ridge",503,
"Blayney",0,
"Bligh Park",6360,
"Blighty",0,
"Blowering",0,
"Blue Bay",1030,
"Blue Haven",6377,
"Blue Knob",0,
"Blue Mountains National Park",0,
"Blue Nobby",0,
"Blue Vale",0,
"Blueys Beach",0,
"Boambee",0,
"Boambee East",0,
"Boambolo",0,
"Boat Harbour (Lismore - NSW)",0,
"Boat Harbour (Port Stephens - NSW)",0,
"Bobadah",0,
"Bobin",0,
"Bobs Creek",0,
"Bobs Farm",0,
"Bobundara",0,
"Boco",0,
"Bocoble",0,
"Bocobra",0,
"Bodalla",0,
"Bodangora",0,
"Boeill Creek",0,
"Bogan",0,
"Bogan Gate",0,
"Bogangar",0,
"Bogee",0,
"Boggabilla",0,
"Boggabri",0,
"Bogong Peaks Wilderness",0,
"Bohena Creek",0,
"Bohnock",0,
"Bolaro",0,
"Bolivia",0,
"Bolong",0,
"Bolton Point",0,
"Bolwarra (NSW)",0,
"Bolwarra Heights",0,
"Bom Bom",0,
"Bomaderry",0,
"Bombah Point",0,
"Bombala",0,
"Bombay",0,
"Bombira",0,
"Bombo",0,
"Bombowlee",0,
"Bombowlee Creek",0,
"Bomen",0,
"Bomera",0,
"Bonalbo",0,
"Bondi",10049,
"Bondi Beach",11653,
"Bondi Forest",0,
"Bondi Junction",9440,
"Bonnells Bay",0,
"Bonnet Bay",2265,
"Bonny Hills",0,
"Bonnyrigg",8670,
"Bonnyrigg Heights",7305,
"Bonshaw (NSW)",0,
"Bonville",0,
"Booerie Creek",0,
"Book Book",0,
"Booker Bay",1322,
"Bookham",0,
"Bookookoorara",0,
"Bookram",0,
"Boolambayte",0,
"Boolaroo",0,
"Boolcarroll",0,
"Booligal",0,
"Boolijah",0,
"Boomanoomana",0,
"Boomerang Beach",0,
"Boomey",0,
"Boomi",0,
"Boomi Creek",0,
"Boona Mount",0,
"Boonal",0,
"Boonoo Boonoo",0,
"Boorabee Park",0,
"Booragul",0,
"Booral (NSW)",0,
"Boorga",0,
"Boorganna",0,
"Boorolong",0,
"Boorook",0,
"Boorooma",0,
"Booroorban",0,
"Boorowa",0,
"Bootawa",0,
"Booti Booti",0,
"Booyong",0,
"Bora Ridge",0,
"Borah Creek",0,
"Borambola",0,
"Border Ranges",0,
"Boree",0,
"Boree Creek",0,
"Borenore",0,
"Boro",0,
"Bossley Park",14580,
"Bostobrick",0,
"Botany",10822,
"Botobolar",0,
"Bottle Creek",0,
"Bouddi",8,
"Bourbah",0,
"Bourke",0,
"Bourkelands",0,
"Bournda",0,
"Bournewood",0,
"Bow Bowing",1603,
"Bowan Park",0,
"Bowen Mountain",1572,
"Bowenfels",0,
"Bowling Alley Point",0,
"Bowman",0,
"Bowman Farm",0,
"Bowmans Creek",0,
"Bowna",0,
"Bowning",0,
"Bowral",0,
"Bowraville",0,
"Box Head",0,
"Box Hill (NSW)",899,
"Box Ridge",0,
"Boxers Creek",0,
"Boydtown",0,
"Bradbury (NSW)",8800,
"Braefield",0,
"Braemar",0,
"Braemar Bay",0,
"Braidwood",0,
"Brandy Hill",0,
"Branxton",0,
"Braunstone",0,
"Brawboy",0,
"Bray Park (NSW)",0,
"Brays Creek",0,
"Brayton",0,
"Breadalbane (NSW)",0,
"Breakfast Creek",0,
"Breakfast Point",4190,
"Bream Beach",0,
"Bredbo",0,
"Breelong",0,
"Breeza",0,
"Bretti",0,
"Brewarrina",0,
"Brewongle",0,
"Briarbrook",0,
"Bribbaree",0,
"Bridgman",0,
"Brierfield",0,
"Brighton-le-Sands",8326,
"Brightwaters",0,
"Bril Bril",0,
"Brimbin",0,
"Brindabella",0,
"Brinerville",0,
"Bringelly",2509,
"Bringenbrong",0,
"Brisbane Grove",0,
"Broadmeadow",0,
"Broadwater (Bega Valley - NSW)",0,
"Broadwater (Richmond Valley - NSW)",0,
"Broadway",0,
"Brobenah",0,
"Brocklehurst",0,
"Brocklesby",0,
"Brockley",0,
"Brodies Plains",0,
"Brogans Creek",0,
"Brogers Creek",0,
"Brogo",0,
"Broke (NSW)",0,
"Broken Head",0,
"Broken Hill",0,
"Brombin",0,
"Bronte",6726,
"Brookdale (NSW)",0,
"Brookfield (NSW)",0,
"Brooklana",0,
"Brooklet",0,
"Brooklyn (NSW)",727,
"Brookong",0,
"Brookvale",3160,
"Brooman",0,
"Brooms Head",0,
"Broughams Gate",0,
"Broughton (NSW)",0,
"Broughton Vale",0,
"Broughton Village",0,
"Broulee",0,
"Brownlow Hill",422,
"Browns Creek",0,
"Browns Mountain",0,
"Brownsville",0,
"Brucedale",0,
"Bruie Plains",0,
"Bruinbun",0,
"Brumby Plains",0,
"Brundee",0,
"Brungle",0,
"Brungle Creek",0,
"Brunkerville",0,
"Brunswick Heads",0,
"Brushgrove",0,
"Brushy Creek",0,
"Buangla",0,
"Bucca (NSW)",0,
"Bucca Wauka",0,
"Buccarumbi",0,
"Buchanan (NSW)",0,
"Buckajo",0,
"Buckaroo",0,
"Buckenbowra",0,
"Buckenderra",0,
"Buckendoon",0,
"Bucketty",0,
"Buckra Bendinni",0,
"Budawang",0,
"Buddabadah",0,
"Budden",0,
"Budderoo",0,
"Buddong",0,
"Budgee Budgee (NSW)",0,
"Budgewoi",3362,
"Budgewoi Peninsula",0,
"Budgong",0,
"Buff Point",3506,
"Bugaldie",0,
"Bukalong",0,
"Bukkulla",0,
"Bulahdelah",0,
"Bulee",0,
"Bulga (NSW)",0,
"Bulga Forest",0,
"Bulgary",0,
"Bulla (NSW)",0,
"Bulla Creek",0,
"Bullaburra",1232,
"Bullagreen",0,
"Bullarah",0,
"Bullatale",0,
"Bullawa Creek",0,
"Bulldog",0,
"Bulli",0,
"Bulliac",0,
"Bullio",0,
"Bulyeroi",0,
"Bumbaldry",0,
"Bumbalong",0,
"Bundabah",0,
"Bundagen",0,
"Bundanoon (NSW)",0,
"Bundarra",0,
"Bundeena",1918,
"Bundella",0,
"Bundemar",0,
"Bundewallah",0,
"Bundook",0,
"Bundure",0,
"Bungaba",0,
"Bungabbee",0,
"Bungalora",0,
"Bungarby",0,
"Bungarribee",2634,
"Bungawalbin",0,
"Bungendore",0,
"Bungonia",0,
"Bungowannah",0,
"Bungwahl",0,
"Bunnaloo",0,
"Bunnan",0,
"Bunyah",0,
"Bunyan",0,
"Burcher",0,
"Bureen",0,
"Burnt Bridge",0,
"Burnt Yards",0,
"Buronga",0,
"Burra (Queanbeyan-Palerang Regional - NSW)",0,
"Burra (Snowy Valleys - NSW)",0,
"Burra Creek",0,
"Burraboi",0,
"Burradoo",0,
"Burraga",0,
"Burragate",0,
"Burrandana",0,
"Burraneer",3587,
"Burrangong",0,
"Burrapine",0,
"Burrawang",0,
"Burrell Creek",0,
"Burren Junction",0,
"Burrier",0,
"Burrill Lake",0,
"Burringbar",0,
"Burrinjuck",0,
"Burroway",0,
"Burrumbuttock",0,
"Burrundulla",0,
"Burwood (NSW)",16032,
"Burwood Heights",987,
"Busby",4286,
"Busbys Flat",0,
"Bushells Ridge",19,
"Buttaba",0,
"Buttai",0,
"Butterwick",0,
"Buxton (NSW)",2027,
"Byabarra",0,
"Byadbo Wilderness",0,
"Byangum",0,
"Bylong",0,
"Byng",0,
"Byrock",0,
"Byron Bay",0,
"Byrrill Creek",0,
"Bywong",0,
"Cabarita (NSW)",1962,
"Cabarita Beach",0,
"Cabbage Tree Island (Ballina - NSW)",0,
"Cabbage Tree Island (Mid-Coast - NSW)",0,
"Cabramatta",21784,
"Cabramatta West",7220,
"Cabramurra",0,
"Caddens",1474,
"Cadgee (NSW)",0,
"Cadia",0,
"Caffreys Flat",0,
"Cairncross",0,
"Calala",0,
"Calamia",0,
"Calderwood",0,
"Caldwell",0,
"Calga",144,
"Califat",0,
"Calimo",0,
"Callaghan",0,
"Callaghans Creek",0,
"Callala Bay",0,
"Callala Beach",0,
"Calliope (NSW)",0,
"Caloola",0,
"Cambalong",0,
"Camberwell (NSW)",0,
"Cambewarra",0,
"Cambewarra Village",0,
"Camboon (NSW)",0,
"Cambra",0,
"Cambridge Gardens",2017,
"Cambridge Park",6727,
"Cambridge Plateau",0,
"Camden",3230,
"Camden Head",0,
"Camden Park (NSW)",2240,
"Camden South",4540,
"Camellia",0,
"Cameron Park",0,
"Camerons Creek",0,
"Camira (NSW)",0,
"Cammeray",7004,
"Camp Creek (NSW)",0,
"Campbelltown (NSW)",12564,
"Camperdown (NSW)",10342,
"Campsie",24538,
"Campvale",0,
"Cams Wharf",0,
"Canada Bay",1237,
"Canadian Lead",0,
"Canbelego",0,
"Candelo",0,
"Cangai",0,
"Caniaba",0,
"Canley Heights",10973,
"Canley Vale",10215,
"Canobolas",0,
"Canoelands",179,
"Canonba",0,
"Canowindra",0,
"Canterbury (NSW)",7230,
"Canton Beach",1170,
"Canyonleigh",0,
"Caparra",0,
"Capeen Creek",0,
"Capertee",0,
"Capoompeta",0,
"Captains Flat",0,
"Carabost",0,
"Caragabal",0,
"Carcalgong",0,
"Carcoar",0,
"Cardiff (NSW)",0,
"Cardiff Heights",0,
"Cardiff South",0,
"Carey Bay",0,
"Cargo",0,
"Carinda",0,
"Caringbah",11657,
"Caringbah South",12241,
"Carlaminda",0,
"Carlingford",24394,
"Carlton (NSW)",10719,
"Carnes Hill",2043,
"Carnham",0,
"Carool",0,
"Caroona",0,
"Carrabolla",0,
"Carrai",0,
"Carramar (NSW)",3546,
"Carrathool",0,
"Carrick (NSW)",0,
"Carrington (Mid-Coast - NSW)",0,
"Carrington (Newcastle - NSW)",0,
"Carrington Falls",0,
"Carroll",0,
"Carrowbrook",0,
"Carrs Creek",0,
"Carrs Island",0,
"Carrs Peninsula",0,
"Carss Park",1249,
"Cartwright",2373,
"Cartwrights Hill",0,
"Carwell",0,
"Carwoola",0,
"Cascade (NSW)",0,
"Casino",0,
"Cassilis (NSW)",0,
"Castle Cove",2557,
"Castle Doyle",0,
"Castle Hill (NSW)",39594,
"Castle Rock",0,
"Castlecrag",2943,
"Castlereagh",1168,
"Casuarina (NSW)",0,
"Casula",15661,
"Catalina",0,
"Cataract",0,
"Cathcart (NSW)",0,
"Catherine Field",1655,
"Catherine Hill Bay",0,
"Cathundral",0,
"Cattai",794,
"Cattle Creek (NSW)",0,
"Cavan (NSW)",0,
"Caves Beach",0,
"Cawdor (NSW)",437,
"Cawongla",0,
"Cecil Hills",7015,
"Cecil Park",772,
"Cedar Brush Creek",115,
"Cedar Creek (Cessnock - NSW)",0,
"Cedar Creek (Tweed - NSW)",0,
"Cedar Party",0,
"Cedar Point",0,
"Cells River",0,
"Centennial Park (NSW)",2373,
"Central Colo",27,
"Central Macdonald",52,
"Central Mangrove",268,
"Central Tilba",0,
"Cessnock",0,
"Chaelundi",0,
"Chain Valley Bay",2462,
"Chakola",0,
"Chambigne",0,
"Charbon",0,
"Charles Sturt University",0,
"Charlestown (NSW)",0,
"Charleys Forest",0,
"Charlotte Bay",0,
"Charlton (NSW)",0,
"Charmhaven",2554,
"Chatham Valley",0,
"Chatsbury",0,
"Chatswood",24914,
"Chatswood West",1500,
"Chatsworth (NSW)",0,
"Cheero Point",85,
"Cheltenham (NSW)",2245,
"Cherry Tree Hill",0,
"Cherrybrook",18768,
"Chester Hill",12809,
"Chichester (NSW)",0,
"Chifley (NSW)",3235,
"Chilcotts Creek",0,
"Chilcotts Grass",0,
"Chillingham",0,
"Chinderah",0,
"Chinnock",0,
"Chippendale",8615,
"Chipping Norton",9004,
"Chisholm (NSW)",0,
"Chiswick",2930,
"Chittaway Bay",2027,
"Chittaway Point",938,
"Chowan Creek",0,
"Chullora",0,
"Church Point",997,
"Clandulla",0,
"Clare (NSW)",0,
"Claremont Meadows",4776,
"Clarence",0,
"Clarence Town",0,
"Clarendon (NSW)",122,
"Clarenza",0,
"Clareville",743,
"Claymore",2645,
"Clear Creek",0,
"Clear Range",0,
"Clearfield",0,
"Clemton Park",1665,
"Clergate",0,
"Cleveland (NSW)",0,
"Clifden",0,
"Cliftleigh",0,
"Clifton (NSW)",0,
"Clifton Grove",0,
"Clontarf (NSW)",1740,
"Clothiers Creek",0,
"Clouds Creek",0,
"Clovelly",4738,
"Clunes (NSW)",0,
"Clybucca",0,
"Clyde (NSW)",12,
"Clydesdale (NSW)",0,
"Coal Point",0,
"Coalcliff",0,
"Coaldale",0,
"Coasters Retreat",46,
"Cobaki",0,
"Cobaki Lakes",0,
"Cobar",0,
"Cobar Park",0,
"Cobargo",0,
"Cobark",0,
"Cobbadah",0,
"Cobbitty",2064,
"Cobramunga",0,
"Cockwhy",0,
"Codrington (NSW)",0,
"Coffee Camp",0,
"Coffs Harbour",0,
"Coggan",0,
"Cogra Bay",14,
"Coila",0,
"Coldstream (NSW)",0,
"Coleambally",0,
"Colebee",1927,
"Coledale",0,
"Colinroobie",0,
"Colinton (NSW)",0,
"Collarenebri",0,
"Collaroy (NSW)",7867,
"Collaroy Plateau",4767,
"Collector",0,
"Collendina",0,
"Collerina",0,
"Collie (NSW)",0,
"Collingullie",0,
"Collingwood (NSW)",0,
"Collins Creek",0,
"Collombatti",0,
"Collum Collum",0,
"Colly Blue",0,
"Colo (Bathurst Regional - NSW)",0,
"Colo (Hawkesbury - NSW)",58,
"Colo Heights",333,
"Colo Vale",0,
"Colongra",0,
"Colyton",8437,
"Comara",0,
"Combaning",0,
"Combara",0,
"Comberton",0,
"Comboyne",0,
"Come By Chance",0,
"Comerong Island",0,
"Commissioners Creek",0,
"Como (NSW)",3977,
"Comobella",0,
"Conargo",0,
"Concord",14534,
"Concord West",5916,
"Condell Park",11573,
"Condobolin",0,
"Condong",0,
"Coneac",0,
"Congarinni",0,
"Congarinni North",0,
"Congewai",0,
"Congo",0,
"Conimbia",0,
"Coniston",0,
"Conjola",0,
"Conjola Park",0,
"Connells Point",2827,
"Constitution Hill",3966,
"Coogee (NSW)",15215,
"Cookamidgera",0,
"Cookardinia",0,
"Cooks Gap",0,
"Cooks Hill",0,
"Cooks Myalls",0,
"Coolabah",0,
"Coolac",0,
"Coolagolite",0,
"Coolah",0,
"Coolamon",0,
"Coolangatta (NSW)",0,
"Coolangubra",0,
"Coolatai",0,
"Cooleman",0,
"Cooleys Creek",0,
"Coolgardie (NSW)",0,
"Coolongolook",0,
"Coolringdon",0,
"Coolumbooka",0,
"Coolumburra",0,
"Cooma (NSW)",0,
"Coomba Bay",0,
"Coomba Park",0,
"Coombadjha",0,
"Coombell",0,
"Coomealla",0,
"Coomoo Coomoo",0,
"Coonabarabran",0,
"Coonamble",0,
"Coongbar",0,
"Cooperabung",0,
"Coopernook",0,
"Coopers Gully",0,
"Coopers Shoot",0,
"Cooplacurripa",0,
"Coorabell",0,
"Cooranbong",0,
"Cootamundra",0,
"Cootralantra",0,
"Cooyal",0,
"Copacabana",2732,
"Cope",0,
"Copeland",0,
"Copeton",0,
"Copmanhurst",0,
"Coppabella (NSW)",0,
"Copperhannia",0,
"Coraki",0,
"Coralville",0,
"Coramba",0,
"Corang",0,
"Corangula",0,
"Corbie Hill",0,
"Cordeaux",0,
"Cordeaux Heights",0,
"Coree",0,
"Coreen",0,
"Corindi Beach",0,
"Corinella (NSW)",0,
"Corlette",0,
"Corndale (NSW)",0,
"Corney Town",0,
"Cornwallis",53,
"Corobimilla",0,
"Corowa",0,
"Corrabare",0,
"Corrimal",0,
"Corrong",0,
"Corrowong",0,
"Corunna",0,
"Cottage Point",102,
"Cottonvale (NSW)",0,
"Cougal",0,
"Countegany",0,
"Courabyra",0,
"Couradda",0,
"Couragago",0,
"Couridjah",304,
"Coutts Crossing",0,
"Cow Flat",0,
"Cowabbie",0,
"Cowan",647,
"Cowper",0,
"Cowra",0,
"Coxs Creek",0,
"Coxs Crown",0,
"Crabbes Creek",0,
"Crackenback",0,
"Craigie (NSW)",0,
"Cranebrook",15763,
"Crangan Bay",0,
"Craven",0,
"Craven Plateau",0,
"Crawford River",0,
"Crawney",0,
"Creewah",0,
"Cremorne (NSW)",11221,
"Cremorne Point",2413,
"Crescent Head",0,
"Crestwood",0,
"Cringila",0,
"Croki",0,
"Cromer (NSW)",7594,
"Cronulla",18073,
"Crooble",0,
"Croobyar",0,
"Crooked Corner",0,
"Crookwell",0,
"Croom",0,
"Croppa Creek",0,
"Cross Roads (NSW)",0,
"Crosslands",0,
"Croudace Bay",0,
"Crowdy Bay National Park",0,
"Crowdy Head",0,
"Crows Nest (NSW)",4796,
"Crowther",0,
"Crowther Island",0,
"Croydon (NSW)",10613,
"Croydon Park (NSW)",11014,
"Crudine",0,
"Cryon",0,
"Crystal Creek (NSW)",0,
"Cubba",0,
"Cudal",0,
"Cudgegong",0,
"Cudgel",0,
"Cudgen",0,
"Cudgera Creek",0,
"Cudmirrah",0,
"Culburra Beach",0,
"Culcairn",0,
"Cullen Bullen",0,
"Cullenbone",0,
"Cullendore",0,
"Cullerin",0,
"Cullivel",0,
"Culmaran Creek",0,
"Cumbalum",0,
"Cumbandry",0,
"Cumberland Reach",180,
"Cumbo",0,
"Cumborah",0,
"Cumnock",0,
"Cundle Flat",0,
"Cundletown",0,
"Cundumbul",0,
"Cunjurong Point",0,
"Cunningar",0,
"Cunninyeuk",0,
"Curban",0,
"Curl Curl",2416,
"Curlew Waters",0,
"Curlewis (NSW)",0,
"Curlwaa",0,
"Curra Creek",0,
"Currabubula",0,
"Curragh",0,
"Curramore (NSW)",0,
"Currans Hill",5311,
"Currarong",0,
"Currawang",0,
"Currawarna",0,
"Curraweela",0,
"Curricabark",0,
"Currowan",0,
"Cuttabri",0,
"Cuttagee",0,
"Dabee",0,
"Daceyville",1208,
"Dairy Arm",0,
"Dairy Flat",0,
"Dairymans Plains",0,
"Daleys Point",681,
"Dalgety",0,
"Dalmeny",0,
"Dalmorton",0,
"Dalswinton",0,
"Dalton",0,
"Dalwood (Ballina - NSW)",0,
"Dalwood (Singleton - NSW)",0,
"Dandaloo",0,
"Dandry",0,
